,Word,ExpectedEntropy,IsFeasible
164,bring,0.5714285714285714,1
610,grind,0.9649839288804954,1
2134,wring,1.072825000618134,1
6689,iring,1.072825000618134,1
206,drink,1.3207303568337903,1
378,brink,1.3585392863324195,1
1696,briny,2.2857142857142856,1
3152,bewig,0.2857142857142857,0
3640,byked,0.2857142857142857,0
5639,gabby,0.2857142857142857,0
5809,gibli,0.2857142857142857,0
5866,gleby,0.2857142857142857,0
5891,globy,0.2857142857142857,0
5928,gobby,0.2857142857142857,0
5963,gooby,0.2857142857142857,0
6140,gybed,0.2857142857142857,0
6141,gybes,0.2857142857142857,0
12459,wedgy,0.2857142857142857,0
44,digit,0.5714285714285714,0
329,badge,0.5714285714285714,0
340,being,0.5714285714285714,0
384,gawky,0.5714285714285714,0
405,wedge,0.5714285714285714,0
623,derby,0.5714285714285714,0
776,budge,0.5714285714285714,0
885,globe,0.5714285714285714,0
1344,rigid,0.5714285714285714,0
1721,gumbo,0.5714285714285714,0
1898,debug,0.5714285714285714,0
2947,baked,0.5714285714285714,0
3046,bayed,0.5714285714285714,0
3086,befog,0.5714285714285714,0
3087,begad,0.5714285714285714,0
3158,bhang,0.5714285714285714,0
3191,biked,0.5714285714285714,0
3274,bling,0.5714285714285714,0
3322,bodge,0.5714285714285714,0
3340,boing,0.5714285714285714,0
3343,boked,0.5714285714285714,0
3385,boong,0.5714285714285714,0
3428,bourg,0.5714285714285714,0
3451,boyed,0.5714285714285714,0
3532,brung,0.5714285714285714,0
3638,byded,0.5714285714285714,0
4433,dauby,0.5714285714285714,0
4465,debag,0.5714285714285714,0
4466,debby,0.5714285714285714,0
4473,debye,0.5714285714285714,0
4665,dobby,0.5714285714285714,0
4931,dwang,0.5714285714285714,0
5026,embog,0.5714285714285714,0
5638,gabba,0.5714285714285714,0
5640,gable,0.5714285714285714,0
5673,gamba,0.5714285714285714,0
5674,gambe,0.5714285714285714,0
5675,gambo,0.5714285714285714,0
5676,gambs,0.5714285714285714,0
5699,garbe,0.5714285714285714,0
5700,garbo,0.5714285714285714,0
5701,garbs,0.5714285714285714,0
5732,gawcy,0.5714285714285714,0
5733,gawds,0.5714285714285714,0
5734,gawks,0.5714285714285714,0
5736,gawsy,0.5714285714285714,0
5749,gebur,0.5714285714285714,0
5783,gerbe,0.5714285714285714,0
5805,gibed,0.5714285714285714,0
5806,gibel,0.5714285714285714,0
5807,giber,0.5714285714285714,0
5808,gibes,0.5714285714285714,0
5810,gibus,0.5714285714285714,0
5864,gleba,0.5714285714285714,0
5865,glebe,0.5714285714285714,0
5879,glibs,0.5714285714285714,0
5889,globi,0.5714285714285714,0
5890,globs,0.5714285714285714,0
5924,goban,0.5714285714285714,0
5925,gobar,0.5714285714285714,0
5926,gobbi,0.5714285714285714,0
5927,gobbo,0.5714285714285714,0
5929,gobis,0.5714285714285714,0
5930,gobos,0.5714285714285714,0
5950,gombo,0.5714285714285714,0
6003,gowds,0.5714285714285714,0
6005,gowks,0.5714285714285714,0
6012,grabs,0.5714285714285714,0
6025,grebe,0.5714285714285714,0
6026,grebo,0.5714285714285714,0
6070,grubs,0.5714285714285714,0
6606,igged,0.5714285714285714,0
8624,obang,0.5714285714285714,0
12036,unbag,0.5714285714285714,0
12358,wadge,0.5714285714285714,0
12363,waged,0.5714285714285714,0
12612,wodge,0.5714285714285714,0
149,gaudy,0.6792696431662097,0
544,godly,0.6792696431662097,0
678,goody,0.6792696431662097,0
819,dying,0.6792696431662097,0
916,pudgy,0.6792696431662097,0
1735,dusky,0.6792696431662097,0
1823,dingy,0.6792696431662097,0
1855,dodgy,0.6792696431662097,0
1979,giddy,0.6792696431662097,0
2557,alkyd,0.6792696431662097,0
3182,bifid,0.6792696431662097,0
3435,bowed,0.6792696431662097,0
3659,cadgy,0.6792696431662097,0
4382,daggy,0.6792696431662097,0
4418,darky,0.6792696431662097,0
4586,dicky,0.6792696431662097,0
4605,dikey,0.6792696431662097,0
4620,dinky,0.6792696431662097,0
4684,dogey,0.6792696431662097,0
4686,doggy,0.6792696431662097,0
4743,dorky,0.6792696431662097,0
4864,ducky,0.6792696431662097,0
4889,dumky,0.6792696431662097,0
4895,dungy,0.6792696431662097,0
4913,durgy,0.6792696431662097,0
4933,dweeb,0.6792696431662097,0
4938,dyked,0.6792696431662097,0
4939,dykes,0.6792696431662097,0
4940,dykey,0.6792696431662097,0
4941,dykon,0.6792696431662097,0
5586,fudgy,0.6792696431662097,0
5633,fyked,0.6792696431662097,0
5686,gandy,0.6792696431662097,0
5855,glady,0.6792696431662097,0
5945,goldy,0.6792696431662097,0
6057,grody,0.6792696431662097,0
6078,gryde,0.6792696431662097,0
6109,gundy,0.6792696431662097,0
6116,gurdy,0.6792696431662097,0
6133,guyed,0.6792696431662097,0
6142,gyeld,0.6792696431662097,0
6153,gyred,0.6792696431662097,0
6159,gyved,0.6792696431662097,0
6295,hedgy,0.6792696431662097,0
6626,imbed,0.6792696431662097,0
6868,judgy,0.6792696431662097,0
6931,kandy,0.6792696431662097,0
6980,kedge,0.6792696431662097,0
6981,kedgy,0.6792696431662097,0
7034,keyed,0.6792696431662097,0
7061,kiddy,0.6792696431662097,0
7063,kidge,0.6792696431662097,0
7083,kindy,0.6792696431662097,0
7238,kydst,0.6792696431662097,0
7244,kynde,0.6792696431662097,0
7245,kynds,0.6792696431662097,0
7386,ledgy,0.6792696431662097,0
8000,midgy,0.6792696431662097,0
9246,podgy,0.6792696431662097,0
9905,ridgy,0.6792696431662097,0
10123,ryked,0.6792696431662097,0
10365,sedgy,0.6792696431662097,0
10693,skody,0.6792696431662097,0
10704,skyed,0.6792696431662097,0
12783,yiked,0.6792696431662097,0
12814,yoked,0.6792696431662097,0
12856,yuked,0.6792696431662097,0
116,dowry,0.7871107149038481,0
779,dowdy,0.7871107149038481,0
2185,downy,0.7871107149038481,0
4444,dawks,0.7871107149038481,0
4464,deawy,0.7871107149038481,0
4787,dowly,0.7871107149038481,0
5149,ewked,0.7871107149038481,0
6663,inked,0.7871107149038481,0
6690,irked,0.7871107149038481,0
6971,kawed,0.7871107149038481,0
12377,waked,0.7871107149038481,0
12447,wayed,0.7871107149038481,0
12673,wyled,0.7871107149038481,0
12677,wyted,0.7871107149038481,0
12734,yawed,0.7871107149038481,0
12836,yowed,0.7871107149038481,0
1427,bawdy,0.8571428571428571,0
3041,bawks,0.8571428571428571,0
3194,bikie,0.8571428571428571,0
3501,briki,0.8571428571428571,0
6583,ibrik,0.8571428571428571,0
7054,kibbi,0.8571428571428571,0
7055,kibei,0.8571428571428571,0
15,grade,0.9649839288804954,0
74,bleed,0.9649839288804954,0
92,lying,0.9649839288804954,0
109,guild,0.9649839288804954,0
246,dodge,0.9649839288804954,0
387,gaily,0.9649839288804954,0
403,bland,0.9649839288804954,0
415,midge,0.9649839288804954,0
460,gully,0.9649839288804954,0
473,doubt,0.9649839288804954,0
483,glory,0.9649839288804954,0
536,glyph,0.9649839288804954,0
589,gusty,0.9649839288804954,0
674,embed,0.9649839288804954,0
763,ridge,0.9649839288804954,0
772,rabid,0.9649839288804954,0
793,doing,0.9649839288804954,0
831,gayly,0.9649839288804954,0
841,blond,0.9649839288804954,0
865,braid,0.9649839288804954,0
946,geeky,0.9649839288804954,0
968,dough,0.9649839288804954,0
972,nudge,0.9649839288804954,0
1023,dingo,0.9649839288804954,0
1027,bread,0.9649839288804954,0
1033,brood,0.9649839288804954,0
1088,gonad,0.9649839288804954,0
1098,adage,0.9649839288804954,0
1138,young,0.9649839288804954,0
1164,build,0.9649839288804954,0
1167,lodge,0.9649839288804954,0
1178,glide,0.9649839288804954,0
1251,beard,0.9649839288804954,0
1267,debit,0.9649839288804954,0
1323,dirge,0.9649839288804954,0
1331,gravy,0.9649839288804954,0
1334,breed,0.9649839288804954,0
1339,deign,0.9649839288804954,0
1381,gipsy,0.9649839288804954,0
1435,gassy,0.9649839288804954,0
1447,dogma,0.9649839288804954,0
1453,vying,0.9649839288804954,0
1502,blind,0.9649839288804954,0
1506,tying,0.9649839288804954,0
1549,glade,0.9649839288804954,0
